id,flag_tsunami,year,month,day,hour,minute,second,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,eq_mag_ml,eq_mag_mfa,eq_mag_unk,intensity,country,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,houses_destroyed,houses_destroyed_description,houses_damaged,houses_damaged_description,total_deaths,total_deaths_description,total_missing,total_missing_description,total_injuries,total_injuries_description,total_damage_millions_dollars,total_damage_description,total_houses_destroyed,total_houses_destroyed_description,total_houses_damaged,total_houses_damaged_description
5663,,2002,11,3,22.0,12.0,41.0,5.0,7.9,7.9,8.5,7.0,,,,9.0,USA,AK,"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,150,,,,,1.0,1.0,56.0,4.0,,,,,,,,,1.0,1.0,56.0,4.0,,,,
5749,,2003,12,22,19.0,15.0,56.0,8.0,6.6,6.6,6.4,6.1,,,,8.0,USA,CA,"CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",35.706,-121.102,150,2.0,1.0,,,40.0,1.0,300.0,4.0,40.0,1.0,,,2.0,1.0,,,40.0,1.0,300.0,4.0,,,,
7368,Tsu,2006,10,15,17.0,7.0,49.2,39.0,6.7,6.7,6.6,6.2,,,,8.0,USA,HI,HAWAIIAN ISLANDS,19.878,-155.935,150,,,,,,3.0,73.0,4.0,,,,,,,,,,3.0,73.0,4.0,,,,
10036,,2013,4,18,0.0,50.0,38.5,0.0,2.1,,,2.1,,,,,USA,,TEXAS:  WEST,31.817,-97.088,150,14.0,1.0,,,200.0,3.0,100.0,4.0,50.0,1.0,,,14.0,1.0,,,200.0,3.0,100.0,4.0,50.0,1.0,,
10110,,2014,8,24,10.0,20.0,6.0,11.0,6.1,6.1,,,,,,8.0,USA,CA,"CALIFORNIA:  NAPA, VALLEJO",38.216,-122.312,150,1.0,1.0,,,257.0,3.0,700.0,4.0,160.0,3.0,1034.0,4.0,1.0,1.0,,,257.0,3.0,700.0,4.0,160.0,3.0,1034.0,4.0
10332,Tsu,2018,5,4,22.0,32.0,55.0,5.0,6.9,6.9,,,,,,,USA,HI,HAWAIIAN ISLANDS: PUNA DISTRICT,19.37,-155.032,150,,,,,,,,1.0,,,,,,,,,1.0,1.0,,4.0,700.0,3.0,,
10376,,2018,11,30,17.0,29.0,28.0,41.0,7.0,7.0,,,,,,,USA,AK,ALASKA:  ANCHORAGE,61.34,-149.937,150,,,,,117.0,3.0,100.0,4.0,2.0,1.0,1650.0,4.0,,,,,117.0,3.0,100.0,4.0,2.0,1.0,1650.0,4.0
5633,,2002,4,24,19.0,48.0,7.1,33.0,5.4,5.4,5.2,5.2,,,,,IRAN,,IRAN:  WESTERN:  KERMANSHAH,34.642,47.4,140,2.0,1.0,,,56.0,2.0,,4.0,,4.0,,4.0,2.0,1.0,,,56.0,2.0,,4.0,,4.0,,
5639,,2002,6,22,2.0,58.0,21.3,10.0,6.5,6.5,6.4,6.2,,,,8.0,IRAN,,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,140,261.0,3.0,,,1300.0,4.0,300.0,4.0,,4.0,,4.0,261.0,3.0,,,1300.0,4.0,300.0,4.0,4.0,4.0,,
5751,,2003,12,26,1.0,56.0,52.4,10.0,6.6,6.6,6.8,6.0,,,,9.0,IRAN,,"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",28.995,58.311,140,31000.0,4.0,,,30000.0,4.0,32.7,4.0,,4.0,,4.0,31000.0,4.0,,,30000.0,4.0,32.7,4.0,,4.0,,
5783,,2004,5,28,12.0,38.0,44.4,17.0,6.3,6.3,6.3,6.2,,,,,IRAN,,"IRAN:  MAZANDARAN, QAZVIN, TEHRAN",36.29,51.61,140,35.0,1.0,,,400.0,3.0,165.0,4.0,,,,,35.0,1.0,,,400.0,3.0,165.0,4.0,,,,3.0
5848,,2005,2,22,2.0,25.0,22.9,14.0,6.4,6.4,6.5,6.0,,,,,IRAN,,IRAN:  KERMAN PROVINCE:  ZARAND,30.754,56.816,140,612.0,3.0,,,1411.0,4.0,,4.0,8000.0,4.0,8000.0,4.0,612.0,3.0,,,1411.0,4.0,,4.0,8000.0,4.0,,
9928,,2012,8,11,12.0,23.0,18.1,11.0,6.5,6.5,6.7,6.2,,,,,IRAN,,"IRAN:  AHAR, HARIS, VARZAGAN",38.329,46.826,140,306.0,3.0,,,3000.0,4.0,,4.0,,4.0,,4.0,306.0,3.0,,,3000.0,4.0,,4.0,,4.0,,4.0
10111,,2014,8,18,2.0,32.0,2.0,6.0,6.2,6.2,,,,,,3.0,IRAN,,IRAN:  ILAM PROVINCE:  ABDANAN,32.663,47.673,140,,,,,330.0,2.0,,1.0,2700.0,4.0,17000.0,4.0,,,,,330.0,2.0,,4.0,2700.0,4.0,17000.0,4.0
10275,,2017,11,12,18.0,18.0,17.0,23.0,7.3,7.3,,,,,,,IRAN,,IRAN: KERMANSHAH; IRAQ: KURDISTAN,34.886,45.941,140,630.0,3.0,,,12900.0,4.0,750.0,4.0,15500.0,4.0,14500.0,4.0,630.0,3.0,,,12900.0,4.0,750.0,4.0,15500.0,4.0,14500.0,4.0
5601,Tsu,2001,6,23,20.0,33.0,14.1,33.0,8.4,8.4,8.2,6.7,,,,8.0,PERU,,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,160,77.0,2.0,68.0,2.0,2713.0,4.0,,4.0,22399.0,4.0,,,103.0,3.0,138.0,3.0,2713.0,4.0,200.0,4.0,25399.0,4.0,,
7537,Tsu,2007,8,15,23.0,40.0,57.8,39.0,8.0,8.0,7.9,6.7,,,,8.0,PERU,,"PERU:  ICA, PISCO, LIMA",-13.386,-76.603,160,514.0,3.0,,,1090.0,4.0,,4.0,52154.0,4.0,23632.0,4.0,514.0,3.0,,,1090.0,4.0,,4.0,52154.0,4.0,23632.0,4.0
8872,Tsu,2010,2,27,6.0,34.0,11.5,23.0,8.8,8.8,8.5,7.2,,,,9.0,CHILE,,"CHILE:  MAULE, CONCEPCION, TALCAHUANO",-36.122,-72.898,160,402.0,3.0,,,12000.0,4.0,30000.0,4.0,,,500000.0,4.0,558.0,3.0,,,12000.0,4.0,30000.0,4.0,,,500000.0,4.0
10079,Tsu,2014,4,1,23.0,46.0,26.0,25.0,8.2,8.2,,,,,,8.0,CHILE,,"CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO",-19.61,-70.769,160,7.0,1.0,,,,,100.0,4.0,,,2600.0,4.0,7.0,1.0,,,,,100.0,4.0,,,2600.0,4.0
10156,Tsu,2015,9,16,22.0,55.0,26.0,22.0,8.3,8.3,,,,,,9.0,CHILE,,CHILE:  CENTRAL,-31.573,-71.674,160,7.0,1.0,1.0,1.0,14.0,1.0,600.0,4.0,2305.0,4.0,10044.0,4.0,15.0,1.0,1.0,1.0,14.0,1.0,600.0,4.0,2305.0,4.0,10044.0,4.0
5553,,2000,1,14,23.0,37.0,7.8,33.0,5.9,5.9,5.9,5.4,5.5,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,30,5.0,1.0,,,2528.0,4.0,73.5,4.0,41000.0,4.0,,,7.0,1.0,,,2528.0,4.0,73.5,4.0,41000.0,4.0,,
5575,,2000,8,21,13.0,25.0,44.5,33.0,4.2,,4.2,4.9,,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,30,1.0,1.0,,,406.0,3.0,43.0,4.0,,,,,1.0,1.0,,,406.0,3.0,43.0,4.0,,,,
5598,,2001,5,23,21.0,10.0,43.9,33.0,5.5,5.5,5.3,5.1,,,,,CHINA,,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,27.689,101.003,30,2.0,1.0,,,605.0,3.0,36.0,4.0,,,,,2.0,1.0,,,605.0,3.0,36.0,4.0,,,,
5682,,2003,2,24,2.0,3.0,41.4,11.0,6.3,6.3,6.3,5.8,,,,,CHINA,,CHINA:  S. XINJIANG:  BACHU,39.61,77.23,40,261.0,3.0,,,4000.0,4.0,,4.0,71000.0,4.0,,,261.0,3.0,,,4000.0,4.0,,4.0,71000.0,4.0,,
5707,,2003,7,21,15.0,16.0,31.9,10.0,5.9,5.9,6.0,5.4,,,,,CHINA,,CHINA:  YUNNAN PROVINCE,25.975,101.29,30,16.0,1.0,,,584.0,3.0,75.0,4.0,264878.0,4.0,264878.0,4.0,16.0,1.0,,,584.0,3.0,75.0,4.0,264878.0,4.0,,
5732,,2003,10,25,12.0,41.0,35.2,10.0,5.8,5.8,5.7,5.8,,,,,CHINA,,"CHINA:  GANSU PROVINCE:  MINLE, SHANDAN",38.4,100.951,30,9.0,1.0,,,43.0,1.0,40.0,4.0,10000.0,4.0,,,9.0,1.0,,,43.0,1.0,40.0,4.0,10000.0,4.0,,
5737,,2003,11,26,13.0,38.0,57.8,33.0,4.7,,,4.7,,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  LUDIAN,27.283,103.753,30,,,,,4.0,1.0,,4.0,2000.0,4.0,2000.0,4.0,,,,,4.0,1.0,,4.0,2000.0,4.0,,
5768,,2004,3,24,1.0,53.0,49.4,19.0,5.4,5.4,5.2,5.6,,,,,CHINA,,"CHINA:  NEI MONGOL:  BAYAN UL HOT, ULIASTAI",45.382,118.256,30,,,,,100.0,2.0,74.0,4.0,38000.0,4.0,,,,,,,100.0,2.0,74.0,4.0,38000.0,4.0,,
5796,,2004,8,10,10.0,26.0,14.7,6.0,5.4,5.4,5.1,5.1,,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  LUDIAN,27.266,103.873,30,4.0,1.0,,,600.0,3.0,50.0,4.0,18556.0,4.0,65601.0,4.0,4.0,1.0,,,600.0,3.0,50.0,4.0,18556.0,,65601.0,4.0
7525,,2007,6,2,21.0,34.0,57.7,5.0,6.1,6.1,6.3,5.7,,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  NING'ER,23.028,101.052,30,3.0,1.0,,,329.0,3.0,310.0,4.0,,,,,3.0,1.0,,,329.0,3.0,310.0,4.0,,,,
